Date,Real_Observed,Forecast_HW,Error_HW_Pct,Forecast_Holt_Low,Error_Holt_Low_Pct,Forecast_Holt_High,Error_Holt_High_Pct
2020-10-01,3950.0,6112.949157053803,54.75820650769121,6319.554713709382,59.98872692935143,6383.412358537256,61.60537616550016
2020-11-01,3252.0,5738.382034781517,76.45701213965305,5961.73585509109,83.32521079615898,6027.6070096838,85.35076905546741
2020-12-01,2963.0,5326.3806410478965,79.76309959662154,5260.340585299895,77.53427557542676,5328.225249657441,79.82535435900915
2021-01-01,2480.0,5394.916616601684,117.5369603468421,5595.231322049592,125.61416621167709,5665.129496171973,128.43264097467636
2021-02-01,1468.0,5090.484928164326,246.76327848530835,5201.969698741499,254.3576089060967,5273.881382628716,259.2562249747082
2021-03-01,2043.0,5610.199066167964,174.6059259015156,5681.068021647553,178.07479303218565,5754.993215299605,181.69325576601102
2021-04-01,2912.0,5429.627850069467,86.45700034579214,5551.926155394659,90.6568047869045,5627.864858811547,93.26458993171521
2021-05-01,3841.0,6070.198120618532,58.036920609698825,6297.4730137211955,63.95399671234563,6375.425226902919,65.98347375430667
2021-06-01,3689.0,5481.054143505519,48.57831779630033,5855.7258794831,58.73477580599348,5935.691602429658,60.90245601598422
2021-07-01,3497.0,5283.772162506587,51.09442843885007,5385.637071918688,54.00735121300223,5467.616304630083,56.35162438175815
2021-08-01,3385.0,4427.058723142435,30.7846003882551,4768.379504479259,40.86793218550247,4852.372246955489,43.34925397209715
2021-09-01,4137.0,5570.625676811741,34.65375095024755,5780.152103813633,39.718445825806945,5866.158356054699,41.79739801920954
2021-10-01,5022.0,6221.339660692309,23.881713673681976,6475.6597951226795,28.945834231833523,6563.679557128581,30.698517664846296
2021-11-01,5242.0,5846.772538420022,11.537057199924115,6117.840936504388,16.708144534612515,6207.874208275125,18.425681195633825
2021-12-01,3988.0,5434.771144686401,36.27811295602812,5416.4456667131935,35.81859746021047,5508.492448248766,38.126691280059326
2022-01-01,3904.0,5503.30712024019,40.96585861270977,5751.336403462889,47.31906771165188,5845.396694763297,49.728398943731996
2022-02-01,4345.0,5198.875431802832,19.65190867210201,5358.074780154798,23.31587526248096,5454.148581220041,25.527009924511873
2022-03-01,5525.0,5718.589569806469,3.503883616406674,5837.173103060851,5.650191910603633,5935.26041389093,7.425527853229504
2022-04-01,5322.0,5538.018353707972,4.058969442088914,5708.031236807957,7.253499376323877,5808.132057402871,9.134386647930691
2022-05-01,6016.0,6178.588624257036,2.702603461719347,6453.578095134494,7.273572060081351,6555.692425494244,8.970951221646347
2022-06-01,5426.0,5589.444647144025,3.0122493023226156,6011.830960896397,10.79673720782155,6115.958801020983,12.715790656486964
2022-07-01,5425.0,5392.162666145092,0.6052964765881684,5541.742153331986,2.151929093677156,5647.883503221407,4.108451672284008
2022-08-01,4902.0,4535.44922678094,7.477575953061198,4924.484585892556,0.4586818827530891,5032.639445546813,2.6650233689680247
2022-09-01,5906.0,5679.016180450246,3.8432749669785657,5936.257185226931,0.5123126519968023,6046.425554646024,2.3776761707758816
2022-10-01,6465.0,6329.730164330814,2.09234084561773,6631.764876535977,2.579503117339168,6743.946755719906,4.314721666201175
2022-11-01,6319.0,5955.163042058528,5.757824939728946,6273.946017917687,0.7129922785616912,6388.14140686645,1.0941827324964373
2022-12-01,5624.0,5543.161648324906,1.4373817865414953,5572.550748126491,0.9148160005958167,5688.759646840091,1.1514873193472739
